wine_link,name,year,winery,rating,rating_qty,price,body,tannins,sweetness,acidity,notes,pairings,grapes,region,style,image
https://www.vivino.com/US/en/luigi-bosca-paraiso/w/11003299?year=2020&price_id=38548588,Paraiso,2020,Luigi Bosca,4.8,575,164.99,73.43435%,50.905894999999994%,13.619732499999998%,44.74824%,"{'black fruit': 14, 'oaky': 13, 'earthy': 5, 'spices': 4, 'red fruit': 2, 'floral': 2}","['beef', 'lamb', 'poultry', 'game (deer, venison)']","['Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon - Malbec,https://images.vivino.com/thumbs/_Bf6JTwYRpSX6eKUiLIvNA_pb_x600.png
https://www.vivino.com/US/en/catena-zapata-estiba-reservada/w/1186732?year=2015&price_id=36655721,Estiba Reservada,2015,Catena Zapata,4.7,295,675,74.09986749999999%,55.86741500000001%,14.329525%,54.65305%,"{'oaky': 109, 'black fruit': 50, 'spices': 25, 'earthy': 24, 'red fruit': 21, 'ageing': 6, 'floral': 6, 'dried fruit': 3, 'yeasty': 2, 'citrus': 2, 'vegetal': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Malbec', 'Merlot']","['Argentina', 'Mendoza', 'Agrelo']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/Yt464jw0QS-ugF7ZQEbE2Q_pb_x600.png
https://www.vivino.com/US/en/catena-zapata-estiba-reservada/w/1186732?year=2017&price_id=35604406,Estiba Reservada,2017,Catena Zapata,4.7,218,580,74.09986749999999%,55.86741500000001%,14.329525%,54.65305%,"{'oaky': 109, 'black fruit': 50, 'spices': 25, 'earthy': 24, 'red fruit': 21, 'ageing': 6, 'floral': 6, 'dried fruit': 3, 'yeasty': 2, 'citrus': 2, 'vegetal': 1}","['beef', 'lamb', 'poultry', 'pasta']","['Cabernet Sauvignon', 'Malbec', 'Merlot']","['Argentina', 'Mendoza', 'Agrelo']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/Yt464jw0QS-ugF7ZQEbE2Q_pb_x600.png
https://www.vivino.com/US/en/monteviejo-la-violeta/w/1556378?year=2013&price_id=30269631,La Violeta,2013,Monteviejo,4.7,202,150,73.06289000000001%,40.9165975%,21.4814425%,36.61685%,"{'oaky': 51, 'black fruit': 49, 'earthy': 26, 'spices': 11, 'floral': 11, 'red fruit': 11, 'yeasty': 2, 'ageing': 1, 'dried fruit': 1, 'vegetal': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/FO-x9h3mQHSx9IHEMw66sQ_pb_x600.png
https://www.vivino.com/US/en/vina-cobos-cobos-volturno/w/1505859?year=2018&price_id=30508346,Cobos Volturno,2018,Viña Cobos,4.7,198,399.99,71.05489250000001%,45.630624999999995%,24.2544575%,38.45142%,"{'oaky': 86, 'black fruit': 49, 'spices': 17, 'earthy': 15, 'red fruit': 15, 'ageing': 5, 'dried fruit': 2, 'citrus': 2, 'floral': 2, 'yeasty': 1}","['beef', 'lamb', 'poultry', 'game (deer, venison)']",['100%Cabernet Sauvignon'],"['Argentina', 'Mendoza', 'Perdriel']",Argentinian Cabernet Sauvignon - Malbec,https://images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x600.png
https://www.vivino.com/US/en/monteviejo-la-violeta/w/1556378?year=2014&price_id=38149864,La Violeta,2014,Monteviejo,4.7,126,125,73.06289000000001%,40.9165975%,21.4814425%,36.61685%,"{'oaky': 51, 'black fruit': 49, 'earthy': 26, 'spices': 11, 'floral': 11, 'red fruit': 11, 'yeasty': 2, 'ageing': 1, 'dried fruit': 1, 'vegetal': 1}","['beef', 'lamb']",['Malbec'],"['Argentina', 'Mendoza', 'Uco Valley']",Argentinian Uco Valley Malbec Red,https://images.vivino.com/thumbs/FO-x9h3mQHSx9IHEMw66sQ_pb_x600.png
https://www.vivino.com/US/en/catena-zapata-adrianna-vineyard-mundus-bacillus-terrae-malbec-gualtallary/w/5107190?year=2017&price_id=25247262,Adrianna Vineyard Mundus Bacillus Terrae Malbec,2017,Catena Zapata,4.7,98,367.49,66.5210825%,36.277%,21.890234999999997%,43.548035000000006%,"{'oaky': 113, 'black fruit': 90, 'earthy': 63, 'spices': 31, 'red fruit': 21, 'floral': 20, 'yeasty': 7, 'citrus': 4, 'dried fruit': 3, 'ageing': 2, 'vegetal': 2, 'tree fruit': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Uco Valley', 'Tupungato', 'Gualtallary']",Argentinian Tupungato Malbec Red,https://images.vivino.com/thumbs/MAJABzdkRsivuLslt7z-vQ_pb_x600.png
https://www.vivino.com/US/en/vina-cobos-cobos-vina-cobos-malbec/w/10113406?year=2019&price_id=33408877,Cobos Viña Cobos Malbec,2019,Viña Cobos,4.7,99,599.99,70.256675%,38.887325000000004%,22.602675%,45.251332500000004%,"{'black fruit': 9, 'oaky': 5, 'red fruit': 1, 'floral': 1}","['beef', 'lamb']",['100%Malbec'],"['Argentina', 'Mendoza', 'Lujan de Cuyo']",Argentinian Lujan de Cuyo Malbec Red,https://images.vivino.com/thumbs/1qNhQPqAQYCwVamEqW5vng_pb_x600.png
https://www.vivino.com/US/en/vina-cobos-cobos-volturno/w/1505859?year=2019&price_id=33243233,Cobos Volturno,2019,Viña Cobos,4.7,78,251.99,71.05489250000001%,45.630624999999995%,24.2544575%,38.45142%,"{'oaky': 86, 'black fruit': 49, 'spices': 17, 'earthy': 15, 'red fruit': 15, 'ageing': 5, 'dried fruit': 2, 'citrus': 2, 'floral': 2, 'yeasty': 1}","['beef', 'lamb', 'poultry', 'game (deer, venison)']","['Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza', 'Perdriel']",Argentinian Cabernet Sauvignon - Malbec,https://images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x600.png
https://www.vivino.com/US/en/vina-cobos-cobos-volturno/w/1505859?year=2020&price_id=36296590,Cobos Volturno,2020,Viña Cobos,4.7,64,349.99,71.05489250000001%,45.630624999999995%,24.2544575%,38.45142%,"{'oaky': 86, 'black fruit': 49, 'spices': 17, 'earthy': 15, 'red fruit': 15, 'ageing': 5, 'dried fruit': 2, 'citrus': 2, 'floral': 2, 'yeasty': 1}","['beef', 'lamb', 'poultry', 'game (deer, venison)']","['Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza', 'Perdriel']",Argentinian Cabernet Sauvignon - Malbec,https://images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x600.png
https://www.vivino.com/US/en/catena-zapata-nicolas-catena-zapata/w/1868?year=2017&price_id=31538699,Nicolás Catena Zapata,2017,Catena Zapata,4.6,3777,246.74,74.43806500000001%,48.048215%,13.31156%,44.043485%,"{'oaky': 1336, 'black fruit': 1218, 'earthy': 665, 'spices': 344, 'red fruit': 258, 'floral': 97, 'dried fruit': 59, 'vegetal': 46, 'yeasty': 43, 'ageing': 22, 'citrus': 17, 'tropical': 2, 'tree fruit': 1}","['beef', 'lamb', 'poultry', 'game (deer, venison)']","['Cabernet Sauvignon', 'Malbec']","['Argentina', 'Mendoza']",Argentinian Cabernet Sauvignon - Malbec,https://images.vivino.com/thumbs/cOU4NG1bS7qni9iLDXwNnQ_pb_x600.png
https://www.vivino.com/US/en/catena-zapata-malbec-argentino/w/1869?year=2020&price_id=37871895,Malbec Argentino,2020,Catena Zapata,4.6,3671,66.67,67.7044325%,33.3749575%,19.965384999999998%,34.642665%,"{'black fruit': 1537, 'oaky': 1479, 'earthy': 645, 'red fruit': 422, 'spices': 297, 'floral': 124, 'dried fruit': 57, 'yeasty': 53, 'ageing': 32, 'vegetal': 27, 'citrus': 17, 'tree fruit': 13, 'tropical': 2}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/L5BuSPpXRXW2ej3KxsgOxg_pb_x600.png
https://www.vivino.com/US/en/catena-zapata-malbec-argentino/w/1869?year=2021&price_id=38399411,Malbec Argentino,2021,Catena Zapata,4.6,3104,114.99,67.7044325%,33.3749575%,19.965384999999998%,34.642665%,"{'black fruit': 1537, 'oaky': 1479, 'earthy': 645, 'red fruit': 422, 'spices': 297, 'floral': 124, 'dried fruit': 57, 'yeasty': 53, 'ageing': 32, 'vegetal': 27, 'citrus': 17, 'tree fruit': 13, 'tropical': 2}","['beef', 'lamb', 'pork']",['100%Malbec'],"['Argentina', 'Mendoza']",Argentinian Mendoza Malbec Red,https://images.vivino.com/thumbs/L5BuSPpXRXW2ej3KxsgOxg_pb_x600.png
https://www.vivino.com/US/en/el-enemigo-gran-enemigo-single-vineyard-chacayes-cabernet-franc-tunuyan/w/5441681?year=2016&price_id=37450913,Gran Enemigo Single Vineyard Chacayes Cabernet Franc,2016,El Enemigo,4.6,2716,129.99,81.87249249999999%,54.6438075%,13.645085000000002%,61.976079999999996%,"{'black fruit': 166, 'oaky': 155, 'earthy': 90, 'spices': 74, 'red fruit': 52, 'floral': 7, 'ageing': 5, 'vegetal': 5, 'dried fruit': 4, 'yeasty': 3, 'tree fruit': 2, 'citrus': 2, 'tropical': 1}","['beef', 'lamb', 'poultry', 'pasta']","['85%Cabernet Franc', '15%Malbec']","['Argentina', 'Mendoza', 'Uco Valley', 'Tunuyán']",Argentinian Bordeaux Blend,https://images.vivino.com/thumbs/otwqMqHXS6CcyA9FaR-n7w_pb_x600.png
